position,name,rating,reviewCount,category,priceLevel,address,phone,website,hours,latitude,longitude,plusCode,profileUrl,scrapedAt
15,Heavy Duty Gym,4.7,,Gimnasio,,,,,Abierto las 24 horas,,,,https://www.google.com/maps/place/Heavy+Duty+Gym/data=!4m7!3m6!1s0x8428b1a2cf3ab5bd:0x3e07cd3a0eaabe32!8m2!3d20.6927996!4d-103.3233788!16s%2Fg%2F11fn8d1nvf!19sChIJvbU6z6KxKIQRMr6qDjrNBz4?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
16,Wolf Gym,4.4,,Gimnasio,,,,,Cerrado,,,,https://www.google.com/maps/place/Wolf+Gym/data=!4m7!3m6!1s0x8428b34c66221e71:0x9f03785ddb5b4a3d!8m2!3d20.665252!4d-103.3082985!16s%2Fg%2F11f9f8r__4!19sChIJcR4iZkyzKIQRPUpb2114A58?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
17,Navi Gym,4.4,,Gimnasio,,,,,Cerrado,,,,https://www.google.com/maps/place/Navi+Gym/data=!4m7!3m6!1s0x8428b1cd1c30c953:0x6b518c3be7407ee6!8m2!3d20.6713657!4d-103.3062375!16s%2Fg%2F11sdh69h80!19sChIJU8kwHM2xKIQR5n5A5zuMUWs?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
18,Gimnasio Smart Fit - Fórum Tlaquepaque,4.4,,Gimnasio,,,,,Cerrado,,,,https://www.google.com/maps/place/Gimnasio+Smart+Fit+-+F%C3%B3rum+Tlaquepaque/data=!4m7!3m6!1s0x8428b236e66d4099:0x2db52018edba040e!8m2!3d20.648385!4d-103.319723!16s%2Fg%2F11bw2_hqmz!19sChIJmUBt5jayKIQRDgS67RggtS0?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
19,Gimnasio Smart Fit - Avenida de la Paz,3.9,,Gimnasio,,,,,Cerrado,,,,https://www.google.com/maps/place/Gimnasio+Smart+Fit+-+Avenida+de+la+Paz/data=!4m7!3m6!1s0x8428b1f3c6fd6c67:0x73220c221c357e47!8m2!3d20.6688625!4d-103.3507915!16s%2Fg%2F11xfkjflfx!19sChIJZ2z9xvOxKIQRR341HCIMInM?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
20,MUTUA GYM,4.3,,Gimnasio,,,,,Cerrado,,,,https://www.google.com/maps/place/MUTUA+GYM/data=!4m7!3m6!1s0x8428b1fb41b98e67:0xf1e6727d6b95bb9e!8m2!3d20.6756447!4d-103.3517969!16s%2Fg%2F1ptykjjmd!19sChIJZ465QfuxKIQRnruVa31y5vE?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
21,Definitions Gym,4.4,,Gimnasio,,,,,Cerrado,,,,https://www.google.com/maps/place/Definitions+Gym/data=!4m7!3m6!1s0x8428b1894492b6bf:0xc402f30490434685!8m2!3d20.6719431!4d-103.329018!16s%2Fg%2F1ptwtcz7b!19sChIJv7aSRImxKIQRhUZDkATzAsQ?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
22,Yofit Gym,4.6,,Gimnasio,,,,,Cerrado,,,,https://www.google.com/maps/place/Yofit+Gym/data=!4m7!3m6!1s0x8428b18877aff959:0xe700b97aa2b340f7!8m2!3d20.6695469!4d-103.3242032!16s%2Fg%2F11g7_g9tdn!19sChIJWfmvd4ixKIQR90Czonq5AOc?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
23,Station 24 Fitness Belisario,4.1,,Gimnasio,,,,,Abierto las 24 horas,,,,https://www.google.com/maps/place/Station+24+Fitness+Belisario/data=!4m7!3m6!1s0x8428b1c2a1359e4f:0x7592951d39c03667!8m2!3d20.6942593!4d-103.3228219!16s%2Fg%2F11rjnq5r1h!19sChIJT541ocKxKIQRZzbAOR2VknU?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
24,Athletics GYM,4.6,,Gimnasio,,,,,Cerrado,,,,https://www.google.com/maps/place/Athletics+GYM/data=!4m7!3m6!1s0x8428b1beeb530147:0xa7b2afaf6580c692!8m2!3d20.6942951!4d-103.3312956!16s%2Fg%2F1pv2f_7cm!19sChIJRwFT676xKIQRksaAZa-vsqc?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
25,UFIT Sport,4.3,,Gimnasio,,,,,Cerrado,,,,https://www.google.com/maps/place/UFIT+Sport/data=!4m7!3m6!1s0x8428b19515763349:0x81b94e6170264931!8m2!3d20.6884934!4d-103.3340942!16s%2Fg%2F11c60g5pv2!19sChIJSTN2FZWxKIQRMUkmcGFOuYE?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
26,FIT GYM,4.4,,Gimnasio,,,,,Cerrado,,,,https://www.google.com/maps/place/FIT+GYM/data=!4m7!3m6!1s0x8428ae1d7a667f53:0x51bb447350a40cae!8m2!3d20.6787823!4d-103.3594241!16s%2Fg%2F1q2wk9v9m!19sChIJU39meh2uKIQRrgykUHNEu1E?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
27,Station 24 Fitness Rio Nilo,4,,Gimnasio,,,,,Abierto las 24 horas,,,,https://www.google.com/maps/place/Station+24+Fitness+Rio+Nilo/data=!4m7!3m6!1s0x8428b333b657ee03:0x4f37b1ed37e815f3!8m2!3d20.6519691!4d-103.3281382!16s%2Fg%2F11gxssqmvy!19sChIJA-5XtjOzKIQR8xXoN-2xN08?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
