position,name,rating,reviewCount,category,priceLevel,address,phone,website,hours,latitude,longitude,plusCode,profileUrl,scrapedAt
1,Telcel Culiacan Vii La Isla,4.2,,Proveedor de servicios de telecomunicaciones,,"Av. Cancun N° 155 Nte, Local 5, Isla Musala, Isla Bonita, 80065 Culiacán Rosales, Sin.",800 890 3765,https://www.telcel.com/,,,,"RJFM+93 Culiacán Rosales, Sinaloa",https://www.google.com/maps/search/Totalplay%20en%20culiacan%2C%20M%C3%A9xico,2026-01-12T18:50:28.216Z
2,Totalplay (Distribuidor autorizado),5,,Proveedor de servicios de Internet,,"Aristóteles 1322, U.a.s., Universitaria, 80013 Culiacán Rosales, Sin.",667 958 6175,,,24.82342,-107.4435277,"RJJ8+GV Culiacán Rosales, Sinaloa","https://www.google.com/maps/place/Totalplay+(Distribuidor+autorizado)/@24.82342,-107.4435277,13z/data=!4m10!1m2!2m1!1sTotalplay+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd9839ce5dcc5:0xc732bcee3c143b88!8m2!3d24.831299!4d-107.382831!15sCh5Ub3RhbHBsYXkgZW4gY3VsaWFjYW4sIE3DqXhpY28iA4gBAZIBGWludGVybmV0X3NlcnZpY2VfcHJvdmlkZXLgAQA!16s%2Fg%2F11yq2y7bxr?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T18:50:28.764Z
3,Totalplay (plaza fiesta),5,,Proveedor de servicios de Internet,,"De Los Insurgentes 1601, Centro Sinaloa, centro, 80200 Culiacán Rosales, Sin.",667 859 7696,,,24.82342,-107.4435277,,"https://www.google.com/maps/place/Totalplay+(plaza+fiesta)/@24.82342,-107.4435277,13z/data=!4m10!1m2!2m1!1sTotalplay+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd18991736aa7:0xc8f193fc77135ec1!8m2!3d24.7949861!4d-107.4110925!15sCh5Ub3RhbHBsYXkgZW4gY3VsaWFjYW4sIE3DqXhpY28iA4gBAZIBGWludGVybmV0X3NlcnZpY2VfcHJvdmlkZXLgAQA!16s%2Fg%2F11ymbv9jtt?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T18:50:29.275Z
4,TOTALPLAY ABASTOS (bodega aurrera),5,,Proveedor de servicios de telecomunicaciones,,"Bodega Aurrera, Mercado de Abastos, 80299 Culiacán Rosales, Sin.",667 539 1000,,,24.82342,-107.4435277,,"https://www.google.com/maps/place/TOTALPLAY+ABASTOS+(bodega+aurrera)/@24.82342,-107.4435277,13z/data=!4m10!1m2!2m1!1sTotalplay+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd7f7d8095599:0xc0709f41b654bbeb!8m2!3d24.771234!4d-107.3705816!15sCh5Ub3RhbHBsYXkgZW4gY3VsaWFjYW4sIE3DqXhpY28iA4gBAZIBI3RlbGVjb21tdW5pY2F0aW9uc19zZXJ2aWNlX3Byb3ZpZGVy4AEA!16s%2Fg%2F11mkylldgc?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T18:50:29.780Z
5,Totalplay(Soriana Zapata),5,,Proveedor de servicios de Internet,,"Av. Manuel J. Clouthier S/N, el vallado 80180 culiacan rosales, sinaloa Avenida, 80180 Culiacán Rosales, Sin.",669 543 4223,,,24.82342,-107.4435277,,"https://www.google.com/maps/place/Totalplay(Soriana+Zapata)/@24.82342,-107.4435277,13z/data=!4m10!1m2!2m1!1sTotalplay+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd16017af5a47:0xbefbdfdc8b6302ad!8m2!3d24.7903783!4d-107.423533!15sCh5Ub3RhbHBsYXkgZW4gY3VsaWFjYW4sIE3DqXhpY28iA4gBAZIBGWludGVybmV0X3NlcnZpY2VfcHJvdmlkZXLgAQA!16s%2Fg%2F11mlc92gv0?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T18:50:30.040Z
6,TOTALPLAY 1 CONTRATACIONES,,,Proveedor de servicios de Internet,,"Av. los Laureles 5650, La Esperanza, 80248 Culiacán Rosales, Sin.",667 166 9350,,,24.7949861,-107.4873102,"QMP3+F3 Culiacán Rosales, Sinaloa","https://www.google.com/maps/place/TOTALPLAY+1+CONTRATACIONES/@24.7949861,-107.4873102,13z/data=!4m10!1m2!2m1!1sTotalplay+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd7ffa51ca427:0x6c92292dd1871286!8m2!3d24.7861288!4d-107.3473735!15sCh5Ub3RhbHBsYXkgZW4gY3VsaWFjYW4sIE3DqXhpY28iA4gBAZIBGWludGVybmV0X3NlcnZpY2VfcHJvdmlkZXLgAQA!16s%2Fg%2F11yr_17rns?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T18:50:30.738Z
7,Totalplay (plaza sur),,,Cibercafé,,"Av. Manuel J. Clouthier 3243, Lomas del Boulevard, Loma Linda, 80178 Culiacán Rosales, Sin.",667 392 4841,,,24.7949861,-107.4873102,"QHHR+4X Culiacán Rosales, Sinaloa","https://www.google.com/maps/place/Totalplay+(plaza+sur)/@24.7949861,-107.4873102,13z/data=!4m10!1m2!2m1!1sTotalplay+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd1001b3dd24b:0x9c2613be4042bfad!8m2!3d24.7778141!4d-107.407501!15sCh5Ub3RhbHBsYXkgZW4gY3VsaWFjYW4sIE3DqXhpY28iA4gBAZIBDWludGVybmV0X2NhZmXgAQA!16s%2Fg%2F11yvfd9rzk?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T18:50:31.276Z
