position,name,rating,reviewCount,category,priceLevel,address,phone,website,hours,latitude,longitude,plusCode,profileUrl,scrapedAt
1,Tintorería Pretty Clean - Las Quintas,4.5,,Tintorería,,Blvrd Sinaloa 1116-L-2,667 584 2586,,Cerrado,,,,https://www.google.com/maps/place/Tintorer%C3%ADa+Pretty+Clean+-+Las+Quintas/data=!4m7!3m6!1s0x86bcd9eefa0c0063:0x61b3afb5720a6919!8m2!3d24.818906!4d-107.3737568!16s%2Fg%2F11ld2bywnp!19sChIJYwAM-u7ZvIYRGWkKcrWvs2E?authuser=0&hl=es&rclk=1,2026-01-11T22:19:55.426Z
2,Tintorería Pressto Culiacán,4.5,,Tintorería,,Blvd. Emiliano Zapata 1061,667 712 6036,http://tintoreriaspressto.com.mx/,Cerrado,,,,https://www.google.com/maps/place/Tintorer%C3%ADa+Pressto+Culiac%C3%A1n/data=!4m7!3m6!1s0x86bcd0b6b05cc3e9:0xfc62ba554cf8b7ce!8m2!3d24.816474!4d-107.3743435!16s%2Fg%2F1v8gcgtl!19sChIJ6cNcsLbQvIYRzrf4TFW6Yvw?authuser=0&hl=es&rclk=1,2026-01-11T22:19:55.457Z
3,Planchaduria angelito,5,,Servicio de lavandería,,Estado de Puebla 1419,667 295 9134,,Cerrado,,,,https://www.google.com/maps/place/Planchaduria+angelito/data=!4m7!3m6!1s0x86bcd79b9988cec7:0xe4be4128e6cac634!8m2!3d24.8152062!4d-107.3736847!16s%2Fg%2F11nyjq4srq!19sChIJx86ImZvXvIYRNMbK5ihBvuQ?authuser=0&hl=es&rclk=1,2026-01-11T22:19:55.468Z
4,Tint,4.8,,Tintorería,,"RETORNO JOSE, Diego Valadés Ríos 1517 OTE-L. 3 Y 4",,https://www.clynmembers.com/sucursal-culiacan-1/,Cerrado,,,,https://www.google.com/maps/place/Tint/data=!4m7!3m6!1s0x86bcd9fedb927fc3:0xdebdc3210db0977f!8m2!3d24.8213042!4d-107.3814334!16s%2Fg%2F11c5btp083!19sChIJw3-S2_7ZvIYRf5ewDSHDvd4?authuser=0&hl=es&rclk=1,2026-01-11T22:19:55.468Z
5,Bubba clean,5,,Lavandería de autoservicio,,"5,0","80065 Cancun 1494 local 3 olaza Bariloche, Fracc Musalá Isla Bonita",,Cerrado,,,,https://www.google.com/maps/place/Bubba+clean/data=!4m7!3m6!1s0x86bcd9a8b83812f5:0x1206f2517f52a6df!8m2!3d24.82342!4d-107.3689067!16s%2Fg%2F11h6d6149n!19sChIJ9RI4uKjZvIYR36ZSf1HyBhI?authuser=0&hl=es&rclk=1,2026-01-11T22:19:55.468Z
6,Titoreria La Familiar,5,,Tintorería,,Blvrd Dr Mora 1702A,667 690 7359,,,,,,https://www.google.com/maps/place/Titoreria+La+Familiar/data=!4m7!3m6!1s0x86bcd758d738e3f7:0xe76d9307491060ff!8m2!3d24.8156754!4d-107.3677834!16s%2Fg%2F11dym3q44n!19sChIJ9-M411jXvIYR_2AQSQeTbec?authuser=0&hl=es&rclk=1,2026-01-11T22:19:55.468Z
7,Tintoreria El Angel,4.5,,Tintorería,,"4,5",667 712 0381,,Cerrado,,,,https://www.google.com/maps/place/Tintoreria+El+Angel/data=!4m7!3m6!1s0x86bcd0ab03ccf939:0xd1a84c40315db7ef!8m2!3d24.812862!4d-107.3874109!16s%2Fg%2F11dfjwql97!19sChIJOfnMA6vQvIYR77ddMUBMqNE?authuser=0&hl=es&rclk=1,2026-01-11T22:19:55.468Z
8,LA PLANCHADURIA,,,No hay reseñas,,Gran Avenida El Dorado 1632,,,,,,,https://www.google.com/maps/place/LA+PLANCHADURIA/data=!4m7!3m6!1s0x86bcd9e284053edd:0xaa613d516b93f375!8m2!3d24.8183372!4d-107.3705089!16s%2Fg%2F11y3ytc_nf!19sChIJ3T4FhOLZvIYRdfOTa1E9Yao?authuser=0&hl=es&rclk=1,2026-01-11T22:19:55.490Z
9,Lavandería Barcelona,,,No hay reseñas,,"calle ciudad de reynosa #1394 , Blvrd. Sinaloa, Las Quintas",667 466 1698,,Cerrado,,,,https://www.google.com/maps/place/Lavander%C3%ADa+Barcelona/data=!4m7!3m6!1s0x86bcd7573fffffc3:0x76cd80da7d2df2b3!8m2!3d24.813151!4d-107.374535!16s%2Fg%2F11gbfdkyzy!19sChIJw___P1fXvIYRs_ItfdqAzXY?authuser=0&hl=es&rclk=1,2026-01-11T22:19:55.490Z
10,Lavanderia La Familiar,3.6,,Tintorería,,Blvrd Dr Mora 904,667 715 9292,,Cerrado,,,,https://www.google.com/maps/place/Lavanderia+La+Familiar/data=!4m7!3m6!1s0x86bcd7568e776f13:0x946f81fb74f15f06!8m2!3d24.8134585!4d-107.3777916!16s%2Fg%2F1tsyq6qg!19sChIJE293jlbXvIYRBl_xdPuBb5Q?authuser=0&hl=es&rclk=1,2026-01-11T22:19:55.490Z
11,Lavanderia La morena,,,No hay reseñas,,Blvrd Dr Mora 1613,667 432 1109,,Cerrado,,,,https://www.google.com/maps/place/Lavanderia+La+morena/data=!4m7!3m6!1s0x86bcd7faee95a16f:0x7f5303475d5600e5!8m2!3d24.815196!4d-107.3700244!16s%2Fg%2F11qq0q6z27!19sChIJb6GV7vrXvIYR5QBWXUcDU38?authuser=0&hl=es&rclk=1,2026-01-11T22:19:55.572Z
12,"Master Clean Lavandería, Planchaduría y Tintorería",5,,Lavandería,,Blvrd Dr Mora 1884,667 203 8270,,,,,,"https://www.google.com/maps/place/Master+Clean+Lavander%C3%ADa,+Planchadur%C3%ADa+y+Tintorer%C3%ADa/data=!4m7!3m6!1s0x86bcd7296adf5f5b:0xf031a972a2d18e44!8m2!3d24.8156882!4d-107.3641329!16s%2Fg%2F11hz9d0myp!19sChIJW1_fainXvIYRRI7RonKpMfA?authuser=0&hl=es&rclk=1",2026-01-11T22:19:55.594Z
