position,name,rating,reviewCount,category,priceLevel,address,phone,website,hours,latitude,longitude,plusCode,profileUrl,scrapedAt
2,Tintorería Pretty Clean - Las Quintas,4.5,45,,,,667 584 2586,,· Abre a las 8:30 a.m. del lun,24.8184719,-107.3741824,,"https://www.google.com/maps/search/lavanderias+en+culiacan,+M%C3%A9xico/@24.8184719,-107.3741824,13z?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2026-01-11T22:12:54.881Z
3,Tintorería Pressto Culiacán,4.5,45,,,"Tintorería Pressto Culiacán  4,5(15)Tintorería",667 712 6036,http://tintoreriaspressto.com.mx/,· Abre a las 8 a.m. del lun,24.8184719,-107.3741824,,"https://www.google.com/maps/search/lavanderias+en+culiacan,+M%C3%A9xico/@24.8184719,-107.3741824,13z?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2026-01-11T22:13:00.658Z
4,Planchaduria angelito,5,50,,,,667 295 9134,,· Abre a las 9 a.m. del lun,24.8184606,-107.3741825,,"https://www.google.com/maps/search/lavanderias+en+culiacan,+M%C3%A9xico/@24.8184606,-107.3741825,13z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2026-01-11T22:13:05.379Z
5,Tint,4.8,48,,,,,https://www.clynmembers.com/sucursal-culiacan-1/,· Abre a las 8 a.m. del lun,24.8184719,-107.3741824,,"https://www.google.com/maps/search/lavanderias+en+culiacan,+M%C3%A9xico/@24.8184719,-107.3741824,13z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2026-01-11T22:13:10.171Z
