position,name,rating,reviewCount,category,priceLevel,address,phone,website,hours,latitude,longitude,plusCode,profileUrl,scrapedAt
14,Dra. Marian Georgina García Flores,,,,,,,,,,,,https://www.google.com/maps/place/Dra.+Marian+Georgina+Garc%C3%ADa+Flores/data=!4m7!3m6!1s0x86bcd13c0e26a837:0xdd5c6c0fb1ffc8ae!8m2!3d24.8099891!4d-107.4001064!16s%2Fg%2F11kqt61b9b!19sChIJN6gmDjzRvIYRrsj_sQ9sXN0?authuser=0&hl=es&rclk=1,2026-01-16T19:58:16.137Z
15,Dr Miguel A. Urquidez Bazúa / Neurólogo Pediatra Culiacan,,,,,,,,,,,,https://www.google.com/maps/place/Dr+Miguel+A.+Urquidez+Baz%C3%BAa+%2F+Neur%C3%B3logo+Pediatra+Culiacan/data=!4m7!3m6!1s0x86bcda133aba9055:0xa26c33d9659f5e95!8m2!3d24.8284882!4d-107.3890642!16s%2Fg%2F1w_vnq8c!19sChIJVZC6OhPavIYRlV6fZdkzbKI?authuser=0&hl=es&rclk=1,2026-01-16T19:58:19.961Z
16,"Dr. Bruno Fernández Medina, Pediatra",,,,,,,,,,,,"https://www.google.com/maps/place/Dr.+Bruno+Fern%C3%A1ndez+Medina,+Pediatra/data=!4m7!3m6!1s0x86bcd1887c7e2d01:0xc0bca8b9a611205e!8m2!3d24.8126681!4d-107.3753893!16s%2Fg%2F11fvgfs7l9!19sChIJAS1-fIjRvIYRXiARprmovMA?authuser=0&hl=es&rclk=1",2026-01-16T19:58:23.776Z
17,Pediatra - Dr. Emanuel Palomo,,,,,,,,,,,,https://www.google.com/maps/place/Pediatra+-+Dr.+Emanuel+Palomo/data=!4m7!3m6!1s0x86bcd19d088f4d19:0xa6bc5fb50f81bbb1!8m2!3d24.8060609!4d-107.3992152!16s%2Fg%2F11xs0116z6!19sChIJGU2PCJ3RvIYRsbuBD7VfvKY?authuser=0&hl=es&rclk=1,2026-01-16T19:58:27.523Z
18,Medica Abitia&Castro,,,,,,,,,,,,https://www.google.com/maps/place/Medica+Abitia%26Castro/data=!4m7!3m6!1s0x86bcd7572308a881:0x9c852fef51a52a39!8m2!3d24.8127606!4d-107.3754258!16s%2Fg%2F11ggz2f8tt!19sChIJgagII1fXvIYROSqlUe8vhZw?authuser=0&hl=es&rclk=1,2026-01-16T19:58:31.579Z
19,Infectólogo pediatra en Culiacán - Dr. Eduardo Llausás Magaña,,,,,,,,,,,,https://www.google.com/maps/place/Infect%C3%B3logo+pediatra+en+Culiac%C3%A1n+-+Dr.+Eduardo+Llaus%C3%A1s+Maga%C3%B1a/data=!4m7!3m6!1s0x86bcd1526b4f5397:0x7d068d86b0cd2be5!8m2!3d24.8081317!4d-107.3912357!16s%2Fg%2F11h80fvsbw!19sChIJl1NPa1LRvIYR5SvNsIaNBn0?authuser=0&hl=es&rclk=1,2026-01-16T19:58:35.395Z
20,Dra Itzel Rocha Pediatra,,,,,,,,,,,,https://www.google.com/maps/place/Dra+Itzel+Rocha+Pediatra/data=!4m7!3m6!1s0x86bcd7ab685ba745:0xcbd79591a1dd3372!8m2!3d24.8099045!4d-107.3844575!16s%2Fg%2F11ygljsdfn!19sChIJRadbaKvXvIYRcjPdoZGV18s?authuser=0&hl=es&rclk=1,2026-01-16T19:58:39.166Z
21,"Dr. Octavio Adolfo Sánchez Tovar, Neumólogo pediatra",,,,,,,,,,,,"https://www.google.com/maps/place/Dr.+Octavio+Adolfo+S%C3%A1nchez+Tovar,+Neum%C3%B3logo+pediatra/data=!4m7!3m6!1s0x86bcd1d5255f8397:0x14b009a90f82d6bb!8m2!3d24.8030605!4d-107.400177!16s%2Fg%2F11y40388m7!19sChIJl4NfJdXRvIYRu9aCD6kJsBQ?authuser=0&hl=es&rclk=1",2026-01-16T19:58:42.888Z
22,BIOFATIMA CENTRO MEDICO ESPECIALIZADO,,,,,,,,,,,,https://www.google.com/maps/place/BIOFATIMA+CENTRO+MEDICO+ESPECIALIZADO/data=!4m7!3m6!1s0x86bcdb6e406e2ea1:0xe79890298d584dec!8m2!3d24.8287905!4d-107.3894042!16s%2Fg%2F11h4gtz5vn!19sChIJoS5uQG7bvIYR7E1YjSmQmOc?authuser=0&hl=es&rclk=1,2026-01-16T19:58:46.716Z
23,Dr. Casanova Pediatra,,,,,,,,,,,,https://www.google.com/maps/place/Dr.+Casanova+Pediatra/data=!4m7!3m6!1s0x86bcdbccb31cea19:0xa797987b9d381f7f!8m2!3d24.8259235!4d-107.4331357!16s%2Fg%2F11hdln9zgk!19sChIJGeocs8zbvIYRfx84nXuYl6c?authuser=0&hl=es&rclk=1,2026-01-16T19:58:50.789Z
24,Dr Francisco Aragon Okamura,,,,,,,,,,,,https://www.google.com/maps/place/Dr+Francisco+Aragon+Okamura/data=!4m7!3m6!1s0x86bcd1129e3b8f25:0xae014536ad2194ca!8m2!3d24.8082789!4d-107.3914898!16s%2Fg%2F11qyqplwgg!19sChIJJY87nhLRvIYRypQhrTZFAa4?authuser=0&hl=es&rclk=1,2026-01-16T19:58:54.858Z
