position,name,rating,reviewCount,category,priceLevel,address,phone,website,hours,latitude,longitude,plusCode,profileUrl,scrapedAt
1,Resultados,,,,,,,,,,,,https://www.google.com/maps/search/agricolas%20en%20culiacan%2C%20M%C3%A9xico,2026-01-12T23:22:11.071Z
2,Capaciagro,5,,Servicio agrícola,,"Estado de Puebla 1673, Las Quintas, 80060 Culiacán Rosales, Sin.",667 712 5697,http://capaciagro.com/,,,,,https://www.google.com/maps/search/agricolas%20en%20culiacan%2C%20M%C3%A9xico,2026-01-12T23:22:11.465Z
3,AGROMERKA,5,,Servicio agrícola,,"Jorge García Granados y o Navolato 347, Primer Cuadro, 80000 Culiacán Rosales, Sin.",667 716 8966,https://www.facebook.com/Agromerka/,,,,,https://www.google.com/maps/search/agricolas%20en%20culiacan%2C%20M%C3%A9xico,2026-01-12T23:22:11.715Z
4,"AGRICOLA DE GALA, S.A. DE C.V.",4.8,,,,"C. Epitacio Osuna Poniente 1202, Centro Sinaloa, 89128 Culiacán Rosales, Sin.",667 714 1944,http://agrigala.com/,,24.8184719,-107.3741824,,"https://www.google.com/maps/place/AGRICOLA+DE+GALA,+S.A.+DE+C.V./@24.8184719,-107.3741824,13z/data=!4m10!1m2!2m1!1sagricolas+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd0bd266b08b5:0xa3cd36f7b36b5d71!8m2!3d24.801347!4d-107.4059667!15sCh5hZ3JpY29sYXMgZW4gY3VsaWFjYW4sIE3DqXhpY2_gAQA!16s%2Fg%2F1tnbll0c?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2026-01-12T23:22:11.985Z
5,Semillas el Ranchito,4.2,,Proveedor de equipos agrícolas,,"C. Miguel Hidalgo 502 Ote, Primer Cuadro, 80000 Culiacán Rosales, Sin.",667 716 8680,https://www.facebook.com/Semillas-El-Ranchito-108994458365528,,24.8184719,-107.3741824,,"https://www.google.com/maps/place/Semillas+el+Ranchito/@24.8184719,-107.3741824,13z/data=!4m10!1m2!2m1!1sagricolas+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd0ac64872db1:0xf9d03cda7181c108!8m2!3d24.8087459!4d-107.3895726!15sCh5hZ3JpY29sYXMgZW4gY3VsaWFjYW4sIE3DqXhpY2-SARdmYXJtX2VxdWlwbWVudF9zdXBwbGllcuABAA!16s%2Fg%2F1thz22pt?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2026-01-12T23:22:12.280Z
6,AGRINOVA MEXICO,4.8,,Proveedor de fertilizantes,,"Río Aguanaval 1522, Los Pinos, 80128 Culiacán Rosales, Sin.",667 715 6100,http://agrinovamexico.com/,,24.8158559,-107.4457597,,"https://www.google.com/maps/place/AGRINOVA+MEXICO/@24.8158559,-107.4457597,13z/data=!4m10!1m2!2m1!1sagricolas+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd0ea8c445e77:0x9becaf87b9472e79!8m2!3d24.7879639!4d-107.4098053!15sCh5hZ3JpY29sYXMgZW4gY3VsaWFjYW4sIE3DqXhpY2-SARNmZXJ0aWxpemVyX3N1cHBsaWVy4AEA!16s%2Fg%2F11n2680lqb?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2026-01-12T23:22:12.569Z
7,Agrícola Ritz,5,,Granja,,"Av Gral Juan Carrasco 689, Primer Cuadro, 80000 Culiacán Rosales, Sin.",667 713 6900,http://ritz.com.mx/,,24.8158559,-107.4457597,,"https://www.google.com/maps/place/Agr%C3%ADcola+Ritz/@24.8158559,-107.4457597,13z/data=!4m10!1m2!2m1!1sagricolas+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd0a8a3226a2f:0x181210fce20a3376!8m2!3d24.8105113!4d-107.3962947!15sCh5hZ3JpY29sYXMgZW4gY3VsaWFjYW4sIE3DqXhpY2-SAQRmYXJt4AEA!16s%2Fg%2F1tdyr6zs?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2026-01-12T23:22:12.986Z
8,Confederación de Asociaciones Agrícolas del Estado de Sinaloa,4.6,,Asociación u organización,,"Av Gral Juan Carrasco 787, Primer Cuadro, Centro Pedagogico de Sinaloa, 80000 Culiacán Rosales, Sin.",667 712 9562,http://www.caades.org.mx/,,24.8158559,-107.4457597,,"https://www.google.com/maps/place/Confederaci%C3%B3n+de+Asociaciones+Agr%C3%ADcolas+del+Estado+de+Sinaloa/@24.8158559,-107.4457597,13z/data=!4m10!1m2!2m1!1sagricolas+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd9fbb5a1a703:0x31951853810793a2!8m2!3d24.8111479!4d-107.3960707!15sCh5hZ3JpY29sYXMgZW4gY3VsaWFjYW4sIE3DqXhpY29aHyIdYWdyaWNvbGFzIGVuIGN1bGlhY2FuIG3DqXhpY2-SARthc3NvY2lhdGlvbl9vcl9vcmdhbml6YXRpb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblRVTkpja3hVTmpWUlJSQULgAQD6AQQIABA7!16s%2Fg%2F1v1tnj6x?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2026-01-12T23:22:13.303Z
9,Semillas Bazua,5,,Proveedor de equipos agrícolas,,"Jorge García Granados y o Navolato 220, Primer Cuadro, 80000 Culiacán Rosales, Sin.",667 752 0028,,,24.8158559,-107.4457597,,"https://www.google.com/maps/place/Semillas+Bazua/@24.8158559,-107.4457597,13z/data=!4m10!1m2!2m1!1sagricolas+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd0ad009a98f5:0xcb76a20941b4aa0d!8m2!3d24.8070343!4d-107.3877922!15sCh5hZ3JpY29sYXMgZW4gY3VsaWFjYW4sIE3DqXhpY2-SARdmYXJtX2VxdWlwbWVudF9zdXBwbGllcuABAA!16s%2Fg%2F11gf0ntw7h?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2026-01-12T23:22:13.598Z
10,PROAGRO,4.8,,Vendedor mayorista de productos del campo,,"Independencia 2335, Centro Sinaloa, 80120 Culiacán Rosales, Sin.",667 846 5500,http://www.somosproagro.mx/,,24.8158559,-107.4457597,,"https://www.google.com/maps/place/PROAGRO/@24.8158559,-107.4457597,13z/data=!4m10!1m2!2m1!1sagricolas+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd094012a5507:0xb6ad2d22006f9513!8m2!3d24.7941207!4d-107.4162292!15sCh5hZ3JpY29sYXMgZW4gY3VsaWFjYW4sIE3DqXhpY29aHyIdYWdyaWNvbGFzIGVuIGN1bGlhY2FuIG3DqXhpY2-SARJwcm9kdWNlX3dob2xlc2FsZXKaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnN4YkZOdVJqVmFia1l5WWxaQ1FtVlhkRFphVlRRd1dsUm5lVXhZWXhBQuABAPoBBAgAECM!16s%2Fg%2F1tvdk6zx?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2026-01-12T23:22:13.888Z
