position,name,rating,reviewCount,category,priceLevel,address,phone,website,hours,latitude,longitude,plusCode,profileUrl,scrapedAt
24,El Guayabo Restaurant,4.5,,(1123),,,,,· Cierra a las 7 p.m.,,,,https://www.google.com/maps/place/El+Guayabo+Restaurant/data=!4m7!3m6!1s0x86bcd75603c6dea1:0xd3cac881b4a8da95!8m2!3d24.8167715!4d-107.3784584!16s%2Fg%2F11f3__j3g3!19sChIJod7GA1bXvIYRldqotIHIytM?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.331Z
25,Los Arcos,4.7,,(2719),,"· esquina, Calzada Xicoténcatl, Lago de Cuitzeo S/N",,,· Cierra a las 7 p.m.,,,,https://www.google.com/maps/place/Los+Arcos/data=!4m7!3m6!1s0x86bcd7560fd86fbb:0x927f07121f489289!8m2!3d24.8120296!4d-107.3782239!16s%2Fg%2F1tdxl9l9!19sChIJu2_YD1bXvIYRiZJIHxIHf5I?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.331Z
26,Cabeza de Res El Único,4.6,,(1044),,"· Av Revolución 1998, Colonia",,,· Cierra a las 5:30 p.m.,,,,https://www.google.com/maps/place/Cabeza+de+Res+El+%C3%9Anico/data=!4m7!3m6!1s0x86bcd743eecaa30d:0xba8563ad8ae11551!8m2!3d24.8021454!4d-107.36615!16s%2Fg%2F11g8w5q7h0!19sChIJDaPK7kPXvIYRURXhiq1jhbo?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.331Z
27,Tacos al pastor las quintas,4.5,,(627),,,,,Cerrado,,,,https://www.google.com/maps/place/Tacos+al+pastor+las+quintas/data=!4m7!3m6!1s0x86bcd75461be034d:0xb68763008b55d160!8m2!3d24.8120858!4d-107.3817552!16s%2Fg%2F11dxhykyll!19sChIJTQO-YVTXvIYRYNFViwBjh7Y?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.331Z
28,Panamá Restaurante y Pastelería Quintas Malecón,4.7,,(3558),,"""Excelentes platillos, muy surtidos, sabrosos, excelente atención.""",,,· Cierra a las 9 p.m.,,,,https://www.google.com/maps/place/Panam%C3%A1+Restaurante+y+Pasteler%C3%ADa+Quintas+Malec%C3%B3n/data=!4m7!3m6!1s0x86bcd74d16853301:0xc740a719dc164eca!8m2!3d24.8208698!4d-107.3753477!16s%2Fg%2F1w15zwsv!19sChIJATOFFk3XvIYRyk4W3BmnQMc?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.331Z
29,Taqueria San Martin,4.3,,(194),,", carne tradicional de",,,· Cierra a las 11 p.m.,,,,https://www.google.com/maps/place/Taqueria+San+Martin/data=!4m7!3m6!1s0x86bcda1c412e5e6f:0x9611842c398c1b3e!8m2!3d24.8312721!4d-107.3886151!16s%2Fg%2F11cs1s4xkk!19sChIJb14uQRzavIYRPhuMOSyEEZY?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.331Z
30,Trapiche Bistro Quintas Culiacan,4.6,,(491),,"· Esquina con, Av. Sinaloa, Isla del Carmen",,,· Cierra a las 6 p.m.,,,,https://www.google.com/maps/place/Trapiche+Bistro+Quintas+Culiacan/data=!4m7!3m6!1s0x86bcd75c6c6be217:0x23b51aa70a0d9aac!8m2!3d24.8138664!4d-107.3739825!16s%2Fg%2F11hbbpcdg9!19sChIJF-JrbFzXvIYRrJoNCqcatSM?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.331Z
31,Taqueria Don Fernando,4.7,,(78),,"de Culiacán, Sinaloa estilo Zavala-el verde Concordia.""",,,· Cierra a las 9:30 p.m.,,,,https://www.google.com/maps/place/Taqueria+Don+Fernando/data=!4m7!3m6!1s0x86bcd74d784b478f:0xf6ef3ae396d9ab15!8m2!3d24.8045678!4d-107.3821201!16s%2Fg%2F11g6m17ts1!19sChIJj0dLeE3XvIYRFavZluM67_Y?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.331Z
32,Super Tacos,4.7,,(166),,"muy ricos, tortillas hechas a mano muy buena.""",,,· Cierra a las 11 p.m.,,,,https://www.google.com/maps/place/Super+Tacos/data=!4m7!3m6!1s0x86bcd77fbdc4caa3:0x778c54653b806a46!8m2!3d24.790773!4d-107.3728102!16s%2Fg%2F11g0gb48j0!19sChIJo8rEvX_XvIYRRmqAO2VUjHc?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.331Z
33,Tacos y Papas Los Álamos,4.6,,(1396),,"""tortillas recién hechas, los",,,Cerrado,,,,https://www.google.com/maps/place/Tacos+y+Papas+Los+%C3%81lamos/data=!4m7!3m6!1s0x86bcd75c7198f545:0x3b3d69861aaacda!8m2!3d24.8107692!4d-107.3665715!16s%2Fg%2F11cjjvvr7d!19sChIJRfWYcVzXvIYR2qyqYZjWswM?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.331Z
34,"Taqueria Moreno, Mercado Garmendia",4.7,,(29),,"· General, Mercado Garmendia, Calle Gral. Angel Flores 15-E, Primer Cuadro",,,· Cierra a las 6:30 p.m.,,,,"https://www.google.com/maps/place/Taqueria+Moreno,+Mercado+Garmendia/data=!4m7!3m6!1s0x86bcd109ef599d6d:0xa9118f4d104786!8m2!3d24.8083488!4d-107.396235!16s%2Fg%2F11tn3h_v1p!19sChIJbZ1Z7wnRvIYRhkcQTY8RqQA?authuser=0&hl=es&rclk=1",2026-01-11T22:46:12.331Z
35,Vicentillo's Culiacán,4.4,,(198),,"""Excelente lugar, la cena estuvo deliciosa 100% recomendable!""",,,· Cierra a las 11 p.m.,,,,https://www.google.com/maps/place/Vicentillo%27s+Culiac%C3%A1n/data=!4m7!3m6!1s0x86bcd9b26b9cf59f:0xf03b5a90be7a06ae!8m2!3d24.8236331!4d-107.3690007!16s%2Fg%2F11sfj78xr1!19sChIJn_Wca7LZvIYRrgZ6vpBaO_A?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.331Z
36,Taquería Los Desvelados Rubí y Zapata,4.1,,(1115),,"· Av. Gral. Domingo Rubí Sur, Jorge Almada",,,Abierto las 24 horas,,,,https://www.google.com/maps/place/Taquer%C3%ADa+Los+Desvelados+Rub%C3%AD+y+Zapata/data=!4m7!3m6!1s0x86bcd0b735bd71e3:0x7071aeff02bf75b1!8m2!3d24.7976885!4d-107.3950451!16s%2Fg%2F11g7_fyv5j!19sChIJ43G9NbfQvIYRsXW_Av-ucXA?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.331Z
37,Tacos Del Victor,4.7,,(651),,,,,Cerrado,,,,https://www.google.com/maps/place/Tacos+Del+Victor/data=!4m7!3m6!1s0x86bcd752532c8c57:0x7450bed17dd2fbc7!8m2!3d24.8080168!4d-107.3814001!16s%2Fg%2F11c45mcq0t!19sChIJV4wsU1LXvIYRx_vSfdG-UHQ?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.331Z
38,Tacos y Mariscos Hnos Sanjon,4.4,,(1520),,,,,· Cierra a las 6:30 p.m.,,,,https://www.google.com/maps/place/Tacos+y+Mariscos+Hnos+Sanjon/data=!4m7!3m6!1s0x86bcd7527444f327:0x8b8225b5155370c7!8m2!3d24.8047469!4d-107.377551!16s%2Fg%2F11cm_q_8t0!19sChIJJ_NEdFLXvIYRx3BTFbUlgos?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.331Z
39,Restaurante Las Palmas,4.4,,(550),,,,,· Cierra a las 11 p.m.,,,,https://www.google.com/maps/place/Restaurante+Las+Palmas/data=!4m7!3m6!1s0x86bcd757b62e8675:0x756ae2321f516e9c!8m2!3d24.8155734!4d-107.3781011!16s%2Fg%2F1tdywt9t!19sChIJdYYutlfXvIYRnG5RHzLianU?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.331Z
40,Los Trompo's Culiacán,4.3,,(50),,,,,Cerrado,,,,https://www.google.com/maps/place/Los+Trompo%27s+Culiac%C3%A1n/data=!4m7!3m6!1s0x86bcd99b2fadf2fd:0xf49c18faa18ebace!8m2!3d24.825893!4d-107.3759526!16s%2Fg%2F11t53q7jc8!19sChIJ_fKtL5vZvIYRzrqOofoYnPQ?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.331Z
41,Dugongo cocina del pacifico,4.9,,Restaurante,,,,,· Cierra a las 8 p.m.,,,,https://www.google.com/maps/place/Dugongo+cocina+del+pacifico/data=!4m7!3m6!1s0x86bcd75c59a17ef5:0x4ed3f3b97c37fe08!8m2!3d24.816336!4d-107.381861!16s%2Fg%2F11w4tp4cvr!19sChIJ9X6hWVzXvIYRCP43fLnz004?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.331Z
42,Dugongo cocina del pacifico,4.9,,(513),,,,,· Cierra a las 8 p.m.,,,,https://www.google.com/maps/place/Dugongo+cocina+del+pacifico/data=!4m7!3m6!1s0x86bcd75c59a17ef5:0x4ed3f3b97c37fe08!8m2!3d24.816336!4d-107.381861!16s%2Fg%2F11w4tp4cvr!19sChIJ9X6hWVzXvIYRCP43fLnz004?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.331Z
43,El Rey del Taco,3.7,,(240),,,,,· Cierra a las 12 a.m.,,,,https://www.google.com/maps/place/El+Rey+del+Taco/data=!4m7!3m6!1s0x86bcdb9ca131099f:0xc3d3d0e8bcca9b70!8m2!3d24.8329733!4d-107.3954836!16s%2Fg%2F11sck8x37g!19sChIJnwkxoZzbvIYRcJvKvOjQ08M?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.331Z
44,TACOS EL GUERO DEL PITON,4.8,,(78),,"· MEX, Calle Gral. Angel Flores, Las Quintas",,,Cerrado,,,,https://www.google.com/maps/place/TACOS+EL+GUERO+DEL+PITON/data=!4m7!3m6!1s0x86bcd753e1bf14c9:0x4a2a43328d21ac50!8m2!3d24.8102414!4d-107.3794202!16s%2Fg%2F1w8wbg93!19sChIJyRS_4VPXvIYRUKwhjTJDKko?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.331Z
45,Taqueria hermanos Moreno,4.6,,(10),,,,,· Cierra a las 6 p.m.,,,,https://www.google.com/maps/place/Taqueria+hermanos+Moreno/data=!4m7!3m6!1s0x86bcd13b12ded5f7:0xb0b10e1b01e53f17!8m2!3d24.8086083!4d-107.3963219!16s%2Fg%2F11fx0cxpg9!19sChIJ99XeEjvRvIYRFz_lARsOsbA?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.331Z
46,Salsas El General. Tacos Quesadillas Y Mas,4.5,,(654),,,,,· Cierra a las 6 p.m.,,,,https://www.google.com/maps/place/Salsas+El+General.+Tacos+Quesadillas+Y+Mas/data=!4m7!3m6!1s0x86bcd05e670f9837:0x8e5edbb2b209839b!8m2!3d24.803475!4d-107.4007763!16s%2Fg%2F1th1vhds!19sChIJN5gPZ17QvIYRm4MJsrLbXo4?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.331Z
47,Birrieria San Blas Quintas,4.6,,(370),,"""Buena birria, tortillas hechas a mano.""",,,Cerrado,,,,https://www.google.com/maps/place/Birrieria+San+Blas+Quintas/data=!4m7!3m6!1s0x86bcd76ea19d62ff:0x8d0dc4fafa852005!8m2!3d24.8146439!4d-107.3777421!16s%2Fg%2F11f2v96r41!19sChIJ_2KdoW7XvIYRBSCF-vrEDY0?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.331Z
48,Taqueria el chompiras,4.4,,(19),,", atención excelente.""",,,Cerrado,,,,https://www.google.com/maps/place/Taqueria+el+chompiras/data=!4m7!3m6!1s0x86bcd783bb2e38db:0xeffdfcff9d5bda6f!8m2!3d24.8118677!4d-107.3741054!16s%2Fg%2F11ft72zdrw!19sChIJ2zguu4PXvIYRb9pbnf_8_e8?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.331Z
49,Tacos y Mariscos el Chito,4.6,,(2188),,,,,Cerrado,,,,https://www.google.com/maps/place/Tacos+y+Mariscos+el+Chito/data=!4m7!3m6!1s0x86bcd74d16853517:0x199e5122cc96ae3c!8m2!3d24.8106479!4d-107.3842392!16s%2Fg%2F1tlwg25n!19sChIJFzWFFk3XvIYRPK6WzCJRnhk?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.331Z
